time,day,model,start date,end date,maxlen,n_hidden,correct,semi_correct,combination
8,1,LSTM,2009-3-10,2018-10-31,100,100,0.5213675213675214,0.5299145299145299,USD_JPY NASDAQ
8,1,LSTM,2009-3-10,2018-10-31,100,200,0.5213675213675214,0.5299145299145299,USD_JPY NASDAQ
7,1,LSTM,2009-3-10,2018-10-31,100,300,0.45726495726495725,0.4658119658119658,USD_JPY NASDAQ
7,1,LSTM,2009-3-10,2018-10-31,100,400,0.48717948717948717,0.49572649572649574,USD_JPY NASDAQ
8,1,LSTM,2009-3-10,2018-10-31,100,500,0.49572649572649574,0.5,USD_JPY NASDAQ
12,1,LSTM,2009-3-10,2018-10-31,200,100,0.5089285714285714,0.5178571428571429,USD_JPY NASDAQ
10,1,LSTM,2009-3-10,2018-10-31,200,200,0.48214285714285715,0.49107142857142855,USD_JPY NASDAQ
14,1,LSTM,2009-3-10,2018-10-31,200,300,0.4642857142857143,0.4732142857142857,USD_JPY NASDAQ
13,1,LSTM,2009-3-10,2018-10-31,200,400,0.4375,0.44642857142857145,USD_JPY NASDAQ
11,1,LSTM,2009-3-10,2018-10-31,200,500,0.47767857142857145,0.48214285714285715,USD_JPY NASDAQ
18,1,LSTM,2009-3-10,2018-10-31,300,100,0.37850467289719625,0.38317757009345793,USD_JPY NASDAQ
13,1,LSTM,2009-3-10,2018-10-31,300,200,0.4439252336448598,0.45794392523364486,USD_JPY NASDAQ
12,1,LSTM,2009-3-10,2018-10-31,300,300,0.43457943925233644,0.4439252336448598,USD_JPY NASDAQ
16,1,LSTM,2009-3-10,2018-10-31,300,400,0.42990654205607476,0.43457943925233644,USD_JPY NASDAQ
11,1,LSTM,2009-3-10,2018-10-31,300,500,0.4766355140186916,0.48130841121495327,USD_JPY NASDAQ
24,1,LSTM,2009-3-10,2018-10-31,400,100,0.4068627450980392,0.4068627450980392,USD_JPY NASDAQ
16,1,LSTM,2009-3-10,2018-10-31,400,200,0.47058823529411764,0.47549019607843135,USD_JPY NASDAQ
16,1,LSTM,2009-3-10,2018-10-31,400,300,0.45588235294117646,0.46078431372549017,USD_JPY NASDAQ
21,1,LSTM,2009-3-10,2018-10-31,400,400,0.4264705882352941,0.4264705882352941,USD_JPY NASDAQ
18,1,LSTM,2009-3-10,2018-10-31,400,500,0.47058823529411764,0.47058823529411764,USD_JPY NASDAQ
30,1,LSTM,2009-3-10,2018-10-31,500,100,0.520618556701031,0.5309278350515464,USD_JPY NASDAQ
20,1,LSTM,2009-3-10,2018-10-31,500,200,0.5154639175257731,0.5257731958762887,USD_JPY NASDAQ
20,1,LSTM,2009-3-10,2018-10-31,500,300,0.5154639175257731,0.5257731958762887,USD_JPY NASDAQ
26,1,LSTM,2009-3-10,2018-10-31,500,400,0.4175257731958763,0.422680412371134,USD_JPY NASDAQ
16,1,LSTM,2009-3-10,2018-10-31,500,500,0.4896907216494845,0.4896907216494845,USD_JPY NASDAQ
31,1,LSTM,2009-3-10,2018-10-31,600,100,0.5163043478260869,0.5271739130434783,USD_JPY NASDAQ
26,1,LSTM,2009-3-10,2018-10-31,600,200,0.46195652173913043,0.4673913043478261,USD_JPY NASDAQ
21,1,LSTM,2009-3-10,2018-10-31,600,300,0.45108695652173914,0.45652173913043476,USD_JPY NASDAQ
28,1,LSTM,2009-3-10,2018-10-31,600,400,0.46195652173913043,0.4673913043478261,USD_JPY NASDAQ
18,1,LSTM,2009-3-10,2018-10-31,600,500,0.47282608695652173,0.4782608695652174,USD_JPY NASDAQ
36,1,LSTM,2009-3-10,2018-10-31,700,100,0.5172413793103449,0.5287356321839081,USD_JPY NASDAQ
24,1,LSTM,2009-3-10,2018-10-31,700,200,0.5172413793103449,0.5287356321839081,USD_JPY NASDAQ
25,1,LSTM,2009-3-10,2018-10-31,700,300,0.5172413793103449,0.5287356321839081,USD_JPY NASDAQ
32,1,LSTM,2009-3-10,2018-10-31,700,400,0.46551724137931033,0.47701149425287354,USD_JPY NASDAQ
22,1,LSTM,2009-3-10,2018-10-31,700,500,0.45977011494252873,0.47126436781609193,USD_JPY NASDAQ
41,1,LSTM,2009-3-10,2018-10-31,800,100,0.5182926829268293,0.5304878048780488,USD_JPY NASDAQ
35,1,LSTM,2009-3-10,2018-10-31,800,200,0.4817073170731707,0.49390243902439024,USD_JPY NASDAQ
28,1,LSTM,2009-3-10,2018-10-31,800,300,0.4573170731707317,0.4634146341463415,USD_JPY NASDAQ
37,1,LSTM,2009-3-10,2018-10-31,800,400,0.5182926829268293,0.5304878048780488,USD_JPY NASDAQ
26,1,LSTM,2009-3-10,2018-10-31,800,500,0.4817073170731707,0.4878048780487805,USD_JPY NASDAQ
46,1,LSTM,2009-3-10,2018-10-31,900,100,0.5194805194805194,0.5324675324675324,USD_JPY NASDAQ
34,1,LSTM,2009-3-10,2018-10-31,900,200,0.4935064935064935,0.5,USD_JPY NASDAQ
28,1,LSTM,2009-3-10,2018-10-31,900,300,0.487012987012987,0.5,USD_JPY NASDAQ
30,1,LSTM,2009-3-10,2018-10-31,900,400,0.4805194805194805,0.4935064935064935,USD_JPY NASDAQ
44,1,LSTM,2009-3-10,2018-10-31,900,500,0.474025974025974,0.487012987012987,USD_JPY NASDAQ
51,1,LSTM,2009-3-10,2018-10-31,1000,100,0.5347222222222222,0.5416666666666666,USD_JPY NASDAQ
44,1,LSTM,2009-3-10,2018-10-31,1000,200,0.5208333333333334,0.5208333333333334,USD_JPY NASDAQ
30,1,LSTM,2009-3-10,2018-10-31,1000,300,0.4722222222222222,0.4791666666666667,USD_JPY NASDAQ
34,1,LSTM,2009-3-10,2018-10-31,1000,400,0.4722222222222222,0.4722222222222222,USD_JPY NASDAQ
50,1,LSTM,2009-3-10,2018-10-31,1000,500,0.4722222222222222,0.4791666666666667,USD_JPY NASDAQ
14,1,LSTM,2009-3-10,2018-10-31,100,100,0.5145228215767634,0.5228215767634855,USD_JPY EUR_JPY
13,1,LSTM,2009-3-10,2018-10-31,100,200,0.4730290456431535,0.47717842323651455,USD_JPY EUR_JPY
15,1,LSTM,2009-3-10,2018-10-31,100,300,0.4730290456431535,0.47717842323651455,USD_JPY EUR_JPY
15,1,LSTM,2009-3-10,2018-10-31,100,400,0.4896265560165975,0.49377593360995853,USD_JPY EUR_JPY
12,1,LSTM,2009-3-10,2018-10-31,100,500,0.4730290456431535,0.47717842323651455,USD_JPY EUR_JPY
19,1,LSTM,2009-3-10,2018-10-31,200,100,0.5194805194805194,0.5281385281385281,USD_JPY EUR_JPY
17,1,LSTM,2009-3-10,2018-10-31,200,200,0.49783549783549785,0.5021645021645021,USD_JPY EUR_JPY
19,1,LSTM,2009-3-10,2018-10-31,200,300,0.49783549783549785,0.5064935064935064,USD_JPY EUR_JPY
15,1,LSTM,2009-3-10,2018-10-31,200,400,0.4805194805194805,0.48484848484848486,USD_JPY EUR_JPY
18,1,LSTM,2009-3-10,2018-10-31,200,500,0.49783549783549785,0.5021645021645021,USD_JPY EUR_JPY
25,1,LSTM,2009-3-10,2018-10-31,300,100,0.4751131221719457,0.4796380090497738,USD_JPY EUR_JPY
20,1,LSTM,2009-3-10,2018-10-31,300,200,0.4841628959276018,0.49321266968325794,USD_JPY EUR_JPY
20,1,LSTM,2009-3-10,2018-10-31,300,300,0.5158371040723982,0.5203619909502263,USD_JPY EUR_JPY
24,1,LSTM,2009-3-10,2018-10-31,300,400,0.49321266968325794,0.502262443438914,USD_JPY EUR_JPY
18,1,LSTM,2009-3-10,2018-10-31,300,500,0.502262443438914,0.5113122171945701,USD_JPY EUR_JPY
31,1,LSTM,2009-3-10,2018-10-31,400,100,0.4928909952606635,0.4976303317535545,USD_JPY EUR_JPY
24,1,LSTM,2009-3-10,2018-10-31,400,200,0.5023696682464455,0.5118483412322274,USD_JPY EUR_JPY
24,1,LSTM,2009-3-10,2018-10-31,400,300,0.5023696682464455,0.5118483412322274,USD_JPY EUR_JPY
29,1,LSTM,2009-3-10,2018-10-31,400,400,0.46445497630331756,0.47393364928909953,USD_JPY EUR_JPY
30,1,LSTM,2009-3-10,2018-10-31,400,500,0.5213270142180095,0.5308056872037915,USD_JPY EUR_JPY
32,1,LSTM,2009-3-10,2018-10-31,500,100,0.5124378109452736,0.5223880597014925,USD_JPY EUR_JPY
27,1,LSTM,2009-3-10,2018-10-31,500,200,0.4626865671641791,0.4626865671641791,USD_JPY EUR_JPY
28,1,LSTM,2009-3-10,2018-10-31,500,300,0.48756218905472637,0.4925373134328358,USD_JPY EUR_JPY
39,1,LSTM,2009-3-10,2018-10-31,500,400,0.47761194029850745,0.48258706467661694,USD_JPY EUR_JPY
25,1,LSTM,2009-3-10,2018-10-31,500,500,0.4925373134328358,0.4925373134328358,USD_JPY EUR_JPY
43,1,LSTM,2009-3-10,2018-10-31,600,100,0.5392670157068062,0.5392670157068062,USD_JPY EUR_JPY
38,1,LSTM,2009-3-10,2018-10-31,600,200,0.4816753926701571,0.4816753926701571,USD_JPY EUR_JPY
32,1,LSTM,2009-3-10,2018-10-31,600,300,0.5078534031413613,0.518324607329843,USD_JPY EUR_JPY
