mean time,maxlen,n_hidden,max correct,max semi correct,mean correct,mean semi correct,combination
7.12,1000,100,0.5186721991701245,0.5364238410596026,0.060629230982579586,0.5191162168304723,USD_JPY_diff USD_JPY

ドル円を固定１０種
79.18,700,200,0.56353591160221,0.56353591160221,0.32331664219942163,0.5040924980954844,USD_JPY_diff USD_JPY EUR_JPY
58.34,100,400,0.5454545454545454,0.5684647302904564,0.2929406725177415,0.5060265784971998,USD_JPY_diff USD_JPY EUR_USD
65.16,500,300,0.5561497326203209,0.5614973262032086,0.2382817631130165,0.5145274740531358,USD_JPY_diff USD_JPY nikkei
66.08,800,500,0.5576036866359447,0.5796178343949044,0.30817677763577506,0.512661566962339,USD_JPY_diff USD_JPY TOPIX
49.58,1000,300,0.5085470085470085,0.5416666666666666,0.24580287850013632,0.49884272877493446,USD_JPY_diff USD_JPY DOW30
38.94,1000,100,0.5133928571428571,0.5416666666666666,0.2212863206331554,0.5005091591587365,USD_JPY_diff USD_JPY NASDAQ
125.24,100,400,0.5633187772925764,0.5690376569037657,0.3288476801290512,0.5143468286044361,USD_JPY_diff USD_JPY treasury_10
12.8,200,200,0.5584415584415584,0.5627705627705628,0.07850352819297639,0.5199457330956732,USD_JPY_diff USD_JPY SMA_5_25
40.0,1000,500,0.5761589403973509,0.5761589403973509,0.26205861225679195,0.5109676994439095,USD_JPY_diff USD_JPY BB_one_hot_neutral
21.04,100,200,0.5435684647302904,0.5477178423236515,0.18096462738340618,0.509568786872114,USD_JPY_diff USD_JPY RSI_one_hot

TOPIXを固定９種
127.46666666666667,500,500,0.5110132158590308,0.5882352941176471,0.4427612928580206,0.48605643194005416,USD_JPY_diff USD_JPY EUR_JPY TOPIX
87.25,600,400,0.5583756345177665,0.576271186440678,0.44746521733254246,0.4925539559329548,USD_JPY_diff USD_JPY EUR_USD TOPIX
101.03333333333333,100,300,0.5418502202643172,0.5594713656387665,0.3718663383028142,0.5001052981753081,USD_JPY_diff USD_JPY nikkei TOPIX
17.266666666666666,700,200,0.502283105022831,0.5974842767295597,0.3153133594640057,0.51530975003848,USD_JPY_diff USD_JPY TOPIX DOW30
66.6,1000,300,0.4892086330935252,0.5503875968992248,0.3428534077927785,0.4717651614885984,USD_JPY_diff USD_JPY TOPIX NASDAQ
153.11666666666667,500,500,0.5760869565217391,0.5869565217391305,0.4880706628108762,0.5011584544109016,USD_JPY_diff USD_JPY TOPIX treasury_10
32.5,100,300,0.5423728813559322,0.5770925110132159,0.2360998408668301,0.5202766889480259,USD_JPY_diff USD_JPY TOPIX SMA_5_25
67.85,200,200,0.5622119815668203,0.5714285714285714,0.415648851576262,0.5046911231619978,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral
36.43333333333333,800,500,0.5605095541401274,0.5668789808917197,0.2588655458038789,0.5144794437888497,USD_JPY_diff USD_JPY TOPIX RSI_one_hot

TOPIXとDOW30固定８種
11.883333333333333,1000,400,0.46511627906976744,0.5658914728682171,0.3202680659123371,0.5006764640862802,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30
11.683333333333334,800,200,0.5159817351598174,0.5637583892617449,0.32147284645683866,0.5043360658817531,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30
16.583333333333332,900,400,0.502283105022831,0.5683453237410072,0.3028685150295232,0.49890156529574603,USD_JPY_diff USD_JPY nikkei TOPIX DOW30
17.566666666666666,600,200,0.4931506849315068,0.5798816568047337,0.3036461216828587,0.49891597319733577,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ
15.1,500,200,0.5296803652968036,0.6089385474860335,0.3180875086973015,0.503568413004753,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10
17.233333333333334,600,400,0.5107913669064749,0.5857988165680473,0.30736262795497266,0.5118675573173955,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25
24.866666666666667,500,200,0.5035971223021583,0.6145251396648045,0.35686178773901356,0.5154454688460923,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral
33.86666666666667,700,200,0.5179856115107914,0.610062893081761,0.3925565996880096,0.4912126991586435,USD_JPY_diff USD_JPY TOPIX DOW30 RSI_one_hot

TOPIXとDOW30とボリンジャーバンド固定７種
14.383333333333333,800,400,0.49206349206349204,0.5570469798657718,0.3761932073466003,0.5050785046758132,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30 BB_one_hot_neutral
16.883333333333333,800,400,0.4840182648401826,0.5503355704697986,0.35799391077941123,0.5002273933199944,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral
17.25,800,400,0.547945205479452,0.5906040268456376,0.34433448681929185,0.4954904327476445,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral
31.4,500,200,0.4977168949771689,0.5698324022346368,0.3508090626374891,0.4804953291254319,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral
35.916666666666664,600,200,0.5251798561151079,0.5739644970414202,0.3734447507746152,0.5002883720676062,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral
24.466666666666665,700,200,0.5107913669064749,0.610062893081761,0.3679356333309557,0.5104612072179733,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral
26.516666666666666,700,200,0.5467625899280576,0.559748427672956,0.41998189493441546,0.4984755173016231,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot

他の機械学習手法から
K-近傍法とサポートベクターマシン
51.21666666666667,300,500,0.5483870967741935,0.5555555555555556,0.2343090532599086,0.5211802203429126,USD_JPY_diff USD_JPY TOPIX SMA_5
ランダムフォレスト
44.9,900,400,0.5625,0.5694444444444444,0.48832432467732045,0.49699290010635977,USD_JPY_diff USD_JPY EUR_JPY EUR_USD TOPIX treasury_10 SMA_5 RSI_one_hot
ada boost
76.2,100,400,0.5401785714285714,0.5446428571428571,0.45028395822437206,0.48949309116984424,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5

追加
0.21666666666666667,100,400,0.4560669456066946,0.47280334728033474,0.4560669456066946,0.47280334728033474,USD_JPY_diff USD_JPY treasury_10
